adcode,name
370783,寿光市
361124,铅山县
370400,枣庄市
450109,邕宁区
450127,横县
330421,嘉善县
610822,府谷县
130827,宽城满族自治县
411500,信阳市
340122,肥东县
530724,宁蒗彝族自治县
450125,上林县
411200,三门峡市
431003,苏仙区
120110,东丽区
623023,舟曲县
360000,江西省
310100,上海市市辖区
141100,吕梁市
130132,元氏县
150523,开鲁县
220602,浑江区
451081,靖西市
370704,坊子区
530324,罗平县
360521,分宜县
330324,永嘉县
620725,山丹县
451226,环江毛南族自治县
620921,金塔县
360112,新建区
410800,焦作市
220221,永吉县
510000,四川省
410700,新乡市
360922,万载县
520321,遵义县
370103,市中区
650200,克拉玛依市
410402,新华区
130181,辛集市
220723,乾安县
500228,梁平县
441624,和平县
620103,七里河区
220400,辽源市
522723,贵定县
150426,翁牛特旗
141124,临县
610424,乾县
450702,钦南区
520382,仁怀市
220200,吉林市
610402,秦都区
410300,洛阳市
410000,河南省
320509,吴江区
220500,通化市
522722,荔波县
610481,兴平市
620981,玉门市
511324,仪陇县
150922,化德县
411723,平舆县
522732,三都水族自治县
220104,朝阳区
510626,罗江县
520324,正安县
520330,习水县
520502,七星关区
610426,永寿县
370112,历城区
520300,遵义市
150403,元宝山区
210403,东洲区
222401,延吉市
430102,芙蓉区
340181,巢湖市
500240,石柱土家族自治县
500235,云阳县
411527,淮滨县
411328,唐河县
451321,忻城县
440825,徐闻县
411623,商水县
231221,望奎县
654300,阿勒泰地区
420304,郧阳区
522632,榕江县
420302,茅箭区
450921,容县
450981,北流市
230112,阿城区
520425,紫云苗族布依族自治县
370684,蓬莱市
410421,宝丰县
533423,维西傈僳族自治县
511421,仁寿县
532927,巍山彝族回族自治县
530823,景东彝族自治县
530825,镇沅彝族哈尼族拉祜族自治县
530827,孟连傣族拉祜族佤族自治县
530829,西盟佤族自治县
500116,江津区
532532,河口瑶族自治县
622922,康乐县
360402,庐山区
360427,星子县
640181,灵武市
451202,金城江区
620722,民乐县
450124,马山县
640500,中卫市
652928,阿瓦提县
410702,红旗区
450400,梧州市
632224,刚察县
510504,龙马潭区
510811,昭化区
510824,苍溪县
230302,鸡冠区
440823,遂溪县
440883,吴川市
341100,滁州市
350211,集美区
230306,城子河区
230382,密山市
510603,旌阳区
371723,成武县
321281,兴化市
411700,驻马店市
441602,源城区
441500,汕尾市
222403,敦化市
230304,滴道区
370503,河口区
371202,莱城区
410411,湛河区
371725,郓城县
420528,长阳土家族自治县
231202,北林区
371722,单县
420581,宜都市
441702,江城区
330212,鄞州区
420702,梁子湖区
522627,天柱县
410804,马村区
231223,青冈县
520423,镇宁布依族苗族自治县
120225,蓟县
231226,绥棱县
231283,海伦市
411524,商城县
130100,石家庄市
445222,揭西县
450903,福绵区
441203,鼎湖区
441223,广宁县
441284,四会市
420526,兴山县
420582,当阳市
445203,揭东区
810015,西貢區
522629,剑河县
522633,从江县
420303,张湾区
451121,昭平县
620723,临泽县
500000,重庆市
420325,房县
340322,五河县
411300,南阳市
370100,济南市
230502,尖山区
230503,岭东区
230505,四方台区
230522,友谊县
230521,集贤县
230524,饶河县
210181,新民市
450800,贵港市
500107,九龙坡区
431121,祁阳县
431382,涟源市
370634,长岛县
420625,谷城县
420682,老河口市
422822,建始县
652702,阿拉山口市
632525,贵南县
652722,精河县
320500,苏州市
513227,小金县
621124,临洮县
530423,通海县
650107,达坂城区
410481,舞钢市
152221,科尔沁右翼前旗
360424,修水县
321100,镇江市
513231,阿坝县
130205,开平区
421124,英山县
522725,瓮安县
620724,高台县
450108,良庆区
620721,肃南裕固族自治县
451102,八步区
451122,钟山县
420923,云梦县
341700,池州市
320924,射阳县
653125,莎车县
451021,田阳县
620525,张家川回族自治县
650109,米东区
320904,大丰区
421181,麻城市
652223,伊吾县
650103,沙依巴克区
321102,京口区
321183,句容市
210423,清原满族自治县
532622,砚山县
530927,沧源佤族自治县
430624,湘阴县
610581,韩城市
632200,海北藏族自治州
620623,天祝藏族自治县
630200,海东市
411100,漯河市
621027,镇原县
451422,宁明县
451424,大新县
654323,福海县
610204,耀州区
620702,甘州区
431122,东安县
530902,临翔区
330700,金华市
500237,巫山县
610525,澄城县
540223,定日县
210421,抚顺县
310113,宝山区
460202,海棠区
441224,怀集县
511800,雅安市
360203,珠山区
653127,麦盖提县
430407,石鼓区
632825,海西蒙古族藏族自治州直辖
620300,金昌市
230882,富锦市
610124,周至县
320921,响水县
320925,建湖县
610302,渭滨区
610521,华县
652201,哈密市
321112,丹徒区
420281,大冶市
430611,君山区
350602,芗城区
511902,巴州区
520302,红花岗区
411523,新县
652828,和硕县
410182,荥阳市
460203,吉阳区
640400,固原市
610113,雁塔区
450223,鹿寨县
310118,青浦区
370902,泰山区
533123,盈江县
610403,杨陵区
653122,疏勒县
220105,二道区
320903,盐都区
130729,万全县
320826,涟水县
330723,武义县
632222,祁连县
430725,桃源县
411024,鄢陵县
411402,梁园区
411425,虞城县
230103,南岗区
410821,修武县
540422,米林县
130208,丰润区
411121,舞阳县
411321,南召县
411203,陕州区
150222,固阳县
445303,云安区
653201,和田市
653225,策勒县
652302,阜康市
411729,新蔡县
652327,吉木萨尔县
220284,磐石市
652823,尉犁县
511703,达川区
511823,汉源县
120101,和平区
120106,红桥区
411303,卧龙区
150124,清水河县
445302,云城区
513431,昭觉县
131002,安次区
130304,北戴河区
652922,温宿县
130121,井陉县
330784,永康市
341324,泗县
530627,镇雄县
370700,潍坊市
371100,日照市
532930,洱源县
622921,临夏县
130725,尚义县
